სათაური,ფასი,წიგნის სურათის ლინკი
NARUTO 19,25.99 ₾,https://apiv1.biblusi.ge/storage/book/XNvPNABEuNprr4uXfPJALkJHf3anOE6mw2uiUzjT.png
ONE PIECE: ACE'S STORY V2,25.99 ₾,https://apiv1.biblusi.ge/storage/book/ihkev9E7tZitAMDS8Ibw8bEXPLqu1TqbEIEhJzb0.png
AFTER EVER HAPPY,27.99 ₾,https://apiv1.biblusi.ge/storage/book/yDllvrHQpcJkFKmqdOmbyAV2L1OjTeEREilZVerb.png
NARUTO 12,25.99 ₾,https://apiv1.biblusi.ge/storage/book/Lc8RCVMWwBBuRLPxn2hwu452WYXi2zPdTxSaRolS.png
A Thousand Boy Kisses,33.99 ₾,https://apiv1.biblusi.ge/storage/book/8muAhQHvxLwhbb9wUBNRCms9QM1J68SlkXCnJmbJ.png
ONE PIECE VOL. 12,25.99 ₾,https://apiv1.biblusi.ge/storage/book/3EGlVkcRuRkaM1VK9hV9mQqEZsEV5o7ki6F5wgj2.png
FULLMETAL ALCHEMIST 04,25.99 ₾,https://apiv1.biblusi.ge/storage/book/3o3o9inONCyfHZlqGLiKw7aiuG8LRZDPE6sQMVZT.png
ONE PIECE OMNIBUS VOL. 11,49.95 ₾,https://apiv1.biblusi.ge/storage/book/LldKYqnQbY9XtCgYd1jDMyrn2pySWWQRCzWrCRdS.png
BLEACH 14,25.99 ₾,https://apiv1.biblusi.ge/storage/book/OqRhhOfgykKRgXfswv0puPjuphre2jpxwFAssRSl.png
NARUTO 15,25.99 ₾,https://apiv1.biblusi.ge/storage/book/uUdlYDU2N4Qi3qhRp2hLcFgd9X75DY0I50DWbsl5.png
NARUTO 09,25.99 ₾,https://apiv1.biblusi.ge/storage/book/5UczqIDQzefpw2tMrN4VQlbDENbQ28tUlKmoIFcZ.png
ONE PIECE VOL. 13,29.99 ₾,https://apiv1.biblusi.ge/storage/book/tCdt9rvatvWBoX5rMkGpdPiAR0k9s124FhPzLkiO.png
NARUTO 18,25.99 ₾,https://apiv1.biblusi.ge/storage/book/1cgl6IQM40rVF4mFXOKePXP13GxGuCIkuXaJcfhX.png
NARUTO 15,25.99 ₾,https://apiv1.biblusi.ge/storage/book/uUdlYDU2N4Qi3qhRp2hLcFgd9X75DY0I50DWbsl5.png
BLEACH 15,25.99 ₾,https://apiv1.biblusi.ge/storage/book/7YlD64ijcfsckUxUbG4TYOYx9BNlR3O6w1uHBZ2B.png
SPY X FAMILY VOL. 5,25.99 ₾,https://apiv1.biblusi.ge/storage/book/TiD9SlBOKc4cn1dhOBXmL4b4r2bw4j2m7kWdGpGT.png
